no;x1;x2;MaxLength;Trophic Level;Trophic group;Water column;Diel Activity;Habitat;Gregariousness;comments;Eo Comments
92;Lutjanus coccineus *;Lutjanus gibbus;50;3,6;Higher carnivore;Demersal;Day;coral;2;no comment;no comment
93;Lutjanus ehrenbergii;Lutjanus ehrenbergii;35;4,4;Higher carnivore;Demersal;Day;coral;2;no comment;no comment
94;Lutjanus fulviflamma;Lutjanus fulviflamma;35;3,8;Higher carnivore;Demersal;Day;coral;2;no comment;no comment
95;Lutjanus gibbus;Lutjanus gibbus;50;3,6;Higher carnivore;Demersal;Day;coral;2;no comment;no comment
96;Lutjanus kasmira;Lutjanus kasmira;40;3,6;Benthic invertivore;Demersal;Day;coral;2;no comment;no comment
97;Lutjanus malabaricus;Lutjanus malabaricus;100;4,5;Higher carnivore;Demersal;#N/A;#N/A;#N/A;no comment;fishbase
98;Lutjanus monostigma;Lutjanus monostigma;60;4,3;Higher carnivore;Demersal;Day;coral;2;no comment;no comment
99;Lutjanus rivulatus;Lutjanus rivulatus;80;4,1;Higher carnivore;Demersal;Day;coral;2;no comment;no comment
100;Lutjanus sebae;Lutjanus sebae;116;4,3;Higher carnivore;Demersal;Day;coral;2;no comment;no comment
101;Lutjanus sp.;Lutjanus sp.;70,08333333;3,975;Higher carnivore;Demersal;#N/A;#N/A;#N/A;no comment;average
102;Macolor niger;Macolor niger;75;3,995744681;Benthic invertivore;Demersal;Day;coral;2;no comment;no comment
103;Monotaxis grandoculis;Monotaxis grandoculis;60;3,2;Benthic invertivore;Demersal;Day;coral;2;no comment;no comment
104;Mugil bananensis;Mugil bananensis;40;2,8;Planktivore;pelagic non-site attached;#N/A;#N/A;#N/A;no comment;fishbase
105;Mulloides flavolineatus;Mulloidichthys flavolineatus;43;3,3;Benthic invertivore;Demersal;Day;sand;3;name;no comment
106;Mulloides vanicolensis;Mulloidichthys vanicolensis;38;3,6;Benthic invertivore;Demersal;Day;sand;3;name;no comment
107;Myripristis murdjan;Myripristis murdjan;60;3,3;Planktivore;Demersal;Night;coral;2;no comment;no comment
108;Naso hexacanthus;Naso hexacanthus;75;3,3;Planktivore;Demersal;Day;coral;3;no comment;no comment
109;Naso lituratus;Naso lituratus;46;2,3;Browsing herbivore;Demersal;Day;coral;1;no comment;no comment
112;Paracaesio sordius;Paracaesio sordida;48;2,8;Planktivore;pelagic site attached;Day;coral;3;name;no comment
113;Platax boersi;Platax boersii;57,5;3,55;Benthic invertivore;pelagic site attached;Day;Coral;2;name;no comment
114;Platax orbicularis;Platax orbicularis;50;3,3;Benthic invertivore;Demersal;Day;coral;2;no comment;no comment
115;Plectorhinchus gaterinus;Plectorhinchus gaterinus;50;40;Higher carnivore;Demersal;#N/A;#N/A;#N/A;no comment;fishbase
116;Plectorhinchus pictus;Plectorhinchus picus;84;3,9;Benthic invertivore;Demersal;Night;coral;1;Have done as though you mean P. picus, but P. pictus is otherwise now Diagramma pictus;no comment
117;Plectorhynchus pictus;Plectorhinchus picus;84;3,9;Benthic invertivore;Demersal;Night;coral;1;Have done as though you mean P. picus, but P. pictus is otherwise now Diagramma pictus;no comment
118;Plectorhynchus schotaf;Plectorhinchus schotaf;80;3,8;Benthic invertivore;Demersal;Night;Coral;1;no comment;no comment
119;Plectropomus pessuliferus;Plectropomus pessuliferus;120;4,3;Higher carnivore;Demersal;Day;coral;1;no comment;no comment
120;Priacanthus hamrur;Priacanthus hamrur;45;3,6;Benthic invertivore;Demersal;Night;coral;2;no comment;no comment
121;Pristipomoides multidens;Pristipomoides multidens;90;3,8;Higher carnivore;Demersal;#N/A;#N/A;#N/A;no comment;fishbase
122;Pseudobalistes flavimarginatus;Pseudobalistes flavimarginatus;60;3,4;Benthic invertivore;Demersal;Day;coral;1;no comment;no comment
123;Rastrelliger kanagurta;Rastrelliger kanagurta;35;3,2;Higher carnivore;pelagic non-site attached;Day;coral;3;no comment;no comment
124;Sarda orientalis;Sarda orientalis;102;4,2;Higher carnivore;pelagic non-site attached;Day;coral;3;no comment;no comment
125;Sargocentron spiniferum;Sargocentron spiniferum;51;3,5;Benthic invertivore;Demersal;Night;coral;1;no comment;no comment
126;Scarus ferrugineus;Scarus ferrugineus;41;2;Scraping herbivore;Demersal;Day;coral;2;no comment;no comment
127;Scarus frenatus;Scarus frenatus;47;2;Scraping herbivore;Demersal;Day;coral;2;no comment;no comment
128;Scarus ghobban;Scarus ghobban;90;2;Scraping herbivore;Demersal;Day;coral;2;no comment;no comment
129;Scomber japonicus;Scomber japonicus;64;3,4;Higher carnivore;pelagic non-site attached;#N/A;#N/A;#N/A;no comment;no comment
130;Scomberoides lysan;Scomberoides lysan;110;4,5;Higher carnivore;pelagic non-site attached;Day;coral;2;no comment;no comment
131;Scomberoides tol;Scomberoides tol;110;4,5;Higher carnivore;pelagic non-site attached;Day;Coral;2;no comment;no comment
132;Scomberomorus commerson;Scomberomorus commerson;240;4,5;Higher carnivore;pelagic non-site attached;Day;coral;2;no comment;no comment
133;Scomberomorus lineolatus;Scomberomorus lineolatus;94;4,5;Higher carnivore;pelagic non-site attached;#N/A;#N/A;#N/A;no comment;no comment
134;Scomberomorus tritor;Scomberomorus tritor;100;4,3;Higher carnivore;pelagic non-site attached;#N/A;#N/A;#N/A;no comment;no comment
135;Siganus argenteus;Siganus argenteus;40;2;Browsing herbivore;Demersal;Day;coral;2;no comment;no comment
136;Siganus luridus;Siganus luridus;30;2;Browsing herbivore;Demersal;Day;coral;2;no comment;no comment
137;Siganus rivulatus;Siganus rivulatus;27;0;Browsing herbivore;benthic;Day;rock;2;no comment;no comment
138;Siganus stellatus;Siganus stellatus;40;2,7;Browsing herbivore;Demersal;Day;coral;2;no comment;no comment
140;Sphyraena forsteri;Sphyraena forsteri;75;4,3;Higher carnivore;pelagic non-site attached;Day;coral;3;no comment;no comment
141;Sphyraena jello;Sphyraena jello;150;4,5;Higher carnivore;pelagic non-site attached;Day;coral;0;no comment;no comment
142;Sphyraena putnamie;Sphyraena putnamae;90;4,5;Higher carnivore;pelagic non-site attached;Day;rock;3;name;no comment
143;Sphyraena qenie;Sphyraena qenie;170;4,5;Higher carnivore;pelagic non-site attached;Day;coral;3;no comment;no comment
144;Sphyrna lewini;Sphyrna lewini;430;4,1;Higher carnivore;pelagic non-site attached;Day;coral;2;no comment;no comment
145;Taeniura lymma;Taeniura lymma;35;3,6;Benthic invertivore;benthic;Day;sand;1;no comment;no comment
