survey;station;species;sequence;length;weight;sex;maturity;gonadweight;stomachfullness;stomachweight;otolith;bdep;lon;lat
2013002;82;LUTPR04;4;51;1320;F;5;58;0;24;0;69;38,42516667;18,44866667
2013002;82;LUTPR04;2;52;1470;F;5;40;0;10;0;69;38,42516667;18,44866667
2013002;82;SPAAR02;2;49;2050;F;6;1;0;15;0;69;38,42516667;18,44866667
2013002;82;SPAAR02;1;20,5;150;U;0;0;0;3;0;69;38,42516667;18,44866667
2013002;83;HOLSA03;1;30;370;F;6;1;0;15;0;52;38,415;18,44966667
2013002;83;LUTLU04;2;40;970;M;3;8;2;22;0;52;38,415;18,44966667
2013002;83;LUTLU04;1;28;320;F;3;13;0;10;0;52;38,415;18,44966667
2013002;84;LETLE02;1;32;470;M;1;1;4;40;0;60;38,40866667;18,45166667
2013002;84;LETLE13;2;37;830;M;1;0,5;0;6;0;60;38,40866667;18,45166667
2013002;84;LETLE13;1;36,5;790;M;1;1;4;22;0;60;38,40866667;18,45166667
2013002;84;LUTLU04;1;36,5;780;M;3;24;4;45;0;60;38,40866667;18,45166667
2013002;84;LUTPR04;2;52;1460;M;5;7;0;15;0;60;38,40866667;18,45166667
2013002;84;LUTPR04;1;50;1310;F;5;45;4;40;0;60;38,40866667;18,45166667
2013002;84;SPAAR02;1;30;780;F;6;10;0;5;0;60;38,40866667;18,45166667
2013002;85;LETLE02;1;28;330;F;2;15;0;6;0;53;38,402;18,45166667
2013002;85;LETLE02;2;34,5;550;M;1;1;0;4;0;53;38,402;18,45166667
2013002;85;LETLE13;2;35;690;M;2;1;4;41;0;53;38,402;18,45166667
2013002;85;LETLE13;3;36;770;F;1;1;4;41;0;53;38,402;18,45166667
2013002;85;LETLE13;1;30;470;F;2;11;4;26;0;53;38,402;18,45166667
2013002;85;LUTLU04;1;37,5;600;M;2;10;4;40;0;53;38,402;18,45166667
2013002;87;LUTLU04;1;31;420;F;3;12;0;10;0;23;38,423;18,467
2013002;89;LETLE13;11;33;600;M;1;1;0;6;0;13;38,44133333;18,47933333
2013002;89;LUTLU04;2;32,5;440;F;2;10;4;30;0;13;38,44133333;18,47933333
2013002;89;LUTLU04;1;29,5;360;M;1;3;4;10;0;13;38,44133333;18,47933333
2013002;89;LUTLU04;3;36;700;M;2;18;4;24;0;13;38,44133333;18,47933333
2013002;91;LETLE02;3;38;760;M;1;0,5;0;6;0;44;38,47633333;18,41783333
2013002;91;LETLE02;1;33,5;530;U;1;0,5;0;3;0;44;38,47633333;18,41783333
2013002;91;LETLE02;2;36;740;M;1;0,5;0;5;0;44;38,47633333;18,41783333
2013002;91;LETLE13;1;35,5;790;M;1;1;0;12;0;44;38,47633333;18,41783333
2013002;95;LETLE02;1;26;280;F;1;2;4;10;0;14;37,751;18,75033333
2013002;96;LETLE02;1;29;310;M;1;0,5;4;25;0;16;37,754;18,751
2013002;109;LUTLU06;1;43;1100;M;2;7;0;18;0;18;37,6235;19,14116667
2013002;109;LUTLU06;2;49;1830;M;4;45;0;40;0;18;37,6235;19,14116667
2013002;110;LUTLU06;1;54;1900;F;6;12;0;23;0;22;37,62533333;19,13566667
2013002;110;LUTLU57;1;35;530;M;1;1;0;8;0;22;37,62533333;19,13566667
2013002;111;HOLSA03;1;37;780;F;6;1;0;12;0;0;37,61666667;19,11666667
2013002;111;LUTLU06;1;55;2560;F;3;22;4;64;0;0;37,61666667;19,11666667
2013002;113;HOLSA03;1;35,5;750;M;1;0,8;0;11;0;24;37,63016667;19,11733333
2013002;113;LUTLU04;1;31;380;F;2;5;4;7;0;24;37,63016667;19,11733333
2013002;113;LUTLU04;3;32;490;F;3;9;4;9;0;24;37,63016667;19,11733333
2013002;113;LUTLU04;2;31,5;490;F;5;9;0;18;0;24;37,63016667;19,11733333
2013002;113;LUTLU04;4;32;450;F;5;10;0;7;0;24;37,63016667;19,11733333
2013002;113;LUTLU06;1;45;1210;M;3;9;0;15;0;24;37,63016667;19,11733333
2013002;113;LUTLU06;2;57;2830;F;6;9;4;80;0;24;37,63016667;19,11733333
2013002;114;LUTLU04;4;36;740;M;5;20;0;11;0;25;37,63016667;19,11033333
2013002;114;LUTLU04;6;39;850;M;3;9;0;60;0;25;37,63016667;19,11033333
2013002;114;LUTLU04;5;30;470;M;5;16;4;13;0;25;37,63016667;19,11033333
2013002;114;LUTLU04;3;31;480;M;5;15;4;25;0;25;37,63016667;19,11033333
2013002;114;LUTLU04;2;32;480;F;4;4;4;22;0;25;37,63016667;19,11033333
2013002;114;LUTLU04;1;32;450;F;5;6;4;11;0;25;37,63016667;19,11033333
2013002;115;LUTLU04;1;31;360;F;4;13;0;8;0;26;37,6285;19,109
2013002;117;LUTLU04;1;35;830;M;5;13;0;18;0;31;37,63966667;19,10116667
2013002;117;LUTLU04;2;38;890;M;5;14;0;8;0;31;37,63966667;19,10116667
2013002;121;LUTLU04;1;30;430;F;2;8;4;13;0;12;37,615;19,14333333
2013002;121;LUTLU04;3;30;440;M;5;21;0;15;0;12;37,615;19,14333333
2013002;121;LUTLU04;2;29;390;F;3;9;0;8;0;12;37,615;19,14333333
2013002;124;LUTLU18;1;29;330;M;2;1;0;4;0;60;37,72316667;19,2355
2013002;125;LETLE13;1;42;1270;F;5;13;0;7;0;40;37,72516667;19,2345
2013002;128;HOLSA03;1;37;740;F;5;22;0;14;0;40;37,73566667;19,2345
2013002;129;LETLE05;1;42;760;M;1;2;4;14;0;30;37,729;19,233
2013002;129;LUTLU18;1;27;270;M;1;1;0;4;0;30;37,729;19,233
2013002;131;HOLSA03;1;37;690;M;1;3;0;10;0;12;37,71066667;19,24233333
2013002;131;LUTLU06;1;54;2400;M;5;63;4;42;0;12;37,71066667;19,24233333
2013002;136;LETLE05;1;44;950;F;5;14;0;4;0;35;37,70066667;19,2695
2013002;136;LUTLU57;1;38;680;M;2;3;0;6;0;35;37,70066667;19,2695
2013002;137;LUTLU06;1;69;5410;M;6;28;0;120;0;35;37,70233333;19,2745
2013002;138;LETLE05;1;63;2610;F;5;48;0;14;0;15;37,70716667;19,30383333
2013002;140;LUTLU06;1;54;4120;M;5;115;E;47;0;0;37,23383333;20,0205
2013002;143;LETLE05;1;29,5;320;X;0;0;E;11;0;0;37,23666667;20,016
2013002;146;LUTLU06;1;73;6680;M;4;247;R;325;1;0;37,2385;20,0115
2013002;146;LUTLU06;2;68;5446;F;6;65;2;154;1;0;37,2385;20,0115
2013002;146;SEREP07;1;61;4700;X;6;0;E;700;0;0;37,2385;20,0115
2013002;148;SEREP07;1;80;9610;X;6;0;R;319;0;0;37,23666667;20,00633333
2013002;152;LETLE02;1;32;440;M;2;1;0;5;0;0;37,201;20,015
2013002;152;LETLE02;2;34;480;M;2;1;0;4;0;0;37,201;20,015
2013002;153;LETLE13;1;36;720;M;3;1;0;7;0;0;37,203;20,015
2013002;155;CARCA04;2;32;210;X;0;0;0;1;0;0;37,285;20,1345
2013002;155;CARCA04;1;51;750;F;4;23;0;7;0;0;37,285;20,1345
2013002;155;CARCS13;2;28;250;M;3;1;0;1;2;0;37,285;20,1345
2013002;155;CARCS13;1;26;160;M;4;0,8;0;0,4;0;0;37,285;20,1345
2013002;155;CARCS13;4;30;320;M;4;6;0;1;0;0;37,285;20,1345
2013002;155;CARCS13;3;25,5;320;M;4;5;0;1;0;0;37,285;20,1345
2013002;155;CARCS13;8;30;330;F;3;4;0;2;0;0;37,285;20,1345
2013002;155;CARCS13;7;32;300;M;4;11;0;1;0;0;37,285;20,1345
2013002;155;CARCS13;6;34;390;M;4;6;0;1;0;0;37,285;20,1345
2013002;155;CARCS13;5;36;550;M;4;5;0;2;0;0;37,285;20,1345
2013002;155;CARSC04;1;59;1212;F;4;37;R;38;0;0;37,285;20,1345
2013002;161;HOLAD02;1;38;1320;M;2;0,5;0;0;0;0;37,28183333;20,14916667
2013002;161;LUTLU06;1;34;560;F;2;1;0;0;0;0;37,28183333;20,14916667
2013002;162;LETLE13;1;30;520;M;1;0,5;1;0;0;0;37,27933333;20,151
2013002;162;LUTLU04;1;36;1000;M;1;2;1;0;0;0;37,27933333;20,151
2013002;164;LUTLU06;1;72;5980;M;5;270;0;0;0;0;37,28483333;20,163
2013002;166;LETLE02;1;38;730;F;2;1;0;0;0;0;37,2695;20,172
2013002;168;HOLAD02;1;34,5;570;M;3;3;0;0;0;0;37,30416667;20,14966667
2013002;171;CARCS04;1;42;830;F;6;9;0;0;1;0;37,28483333;20,1345
2013002;175;SEREP07;1;75;10870;F;6;0;E;0;2;0;37,32466667;20,36116667
2013002;179;LUTLU06;1;47;1350;M;6;10000;X;0;0;0;37,31166667;20,343
2013002;180;SEREP07;1;80;8025;F;6;0;E;0;2;0;37,317;20,33916667
2013002;182;LUTLU09;1;34;860;M;3;6;0;0;0;0;37,31033333;20,39666667
2013002;184;LUTLU04;2;36;680;F;5;15;0;0;0;0;37,31033333;20,38483333
2013002;184;LUTLU04;1;30;370;F;3;8;R;0;0;0;37,31033333;20,38483333
2013002;184;LUTLU06;1;38;470;M;2;0;0;0;0;0;37,31033333;20,38483333
2013002;184;LUTLU06;2;48;1629;M;4;17;R;0;0;0;37,31033333;20,38483333
2013002;185;LETLE13;1;34;480;F;1;0,5;0;0;0;0;37,31033333;20,37566667
2013002;187;ACANA05;2;32,5;160;X;1;0;0;0;0;0;37,30933333;20,34583333
2013002;187;ACANA05;3;25,5;90;X;0;0;0;0;0;0;37,30933333;20,34583333
2013002;187;ACANA05;1;43;890;F;1;0;R;0;0;0;37,30933333;20,34583333
2013002;195;SPAAR01;2;42,5;1000;F;2;0;E;0;0;0;37,30066667;20,76183333
2013002;195;SPAAR01;1;37;1040;F;2;2;0;0;0;0;37,30066667;20,76183333
2013002;197;LUTLU04;1;31,5;500;F;5;12;X;2;0;0;37,31066667;20,752
2013002;201;LETLE13;1;42;1298;M;2;4;R;7;0;0;37,3075;20,76633333
2013002;201;LUTLU06;2;42;1220;M;3;6;E;82;0;0;37,3075;20,76633333
2013002;202;CAECA01;2;28,5;290;F;4;7;0;0;0;0;37,3165;20,7665
2013002;202;CAECA01;1;26;240;M;5;6;0;0;0;0;37,3165;20,7665
2013002;202;CAECA01;3;25;200;M;4;5;0;0;0;0;37,3165;20,7665
2013002;202;CAREL01;1;44;620;F;1;0;R;0;0;0;37,3165;20,7665
2013002;202;CARSC04;3;46;620;M;2;1;E;0;0;0;37,3165;20,7665
2013002;202;CARSC04;2;41,5;390;F;1;0,5;0;0;0;0;37,3165;20,7665
2013002;202;CARSC04;1;38;340;M;1;0,5;0;0;0;0;37,3165;20,7665
2013002;202;GERGE02;1;29;260;M;4;3;R;0;0;0;37,3165;20,7665
2013002;202;SCMGR02;1;40;620;M;1;0;0;0;0;0;37,3165;20,7665
2013002;202;SHACA2A;1;73;2250;M;3;6;R;0;0;0;37,3165;20,7665
